,solver,reaction,success,failure
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,0,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,0,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,0,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,0,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,0,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,0,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,0,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,0,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,0,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,0,0
0,coverages,CO_oxidation,0,1
0,numbers_free_xstar,CO_oxidation,1,0
0,coverages,CO_oxidation,0,1
0,numbers_free_xstar,CO_oxidation,1,0
0,coverages,CO_oxidation,0,1
0,numbers_free_xstar,CO_oxidation,1,0
0,coverages,CO_oxidation,0,1
0,numbers_free_xstar,CO_oxidation,1,0
0,coverages,CO_oxidation,0,1
0,numbers_free_xstar,CO_oxidation,1,0
0,coverages,CO_oxidation,0,1
0,numbers_free_xstar,CO_oxidation,1,0
0,coverages,CO_oxidation,0,1
0,numbers_free_xstar,CO_oxidation,1,0
0,coverages,CO_oxidation,0,1
0,numbers_free_xstar,CO_oxidation,1,0
0,coverages,CO_oxidation,0,1
0,numbers_free_xstar,CO_oxidation,1,0
0,coverages,CO_oxidation,0,1
0,numbers_free_xstar,CO_oxidation,1,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,0,1
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,0,1
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,0,1
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,0,1
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,0,1
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,0,1
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,0,1
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,0,1
0,numbers_free_xstar,CO_oxidation,0,1
0,coverages,CO_oxidation,0,1
0,numbers_free_xstar,CO_oxidation,0,1
0,coverages,CO_oxidation,0,1
0,numbers_free_xstar,CO_oxidation,0,1
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,0,1
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,0,1
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,0,1
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,0,1
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,0,1
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,0,1
0,numbers_free_xstar,CO_oxidation,0,3
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,0,1
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,0,1
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,0,3
0,coverages,CO_oxidation,0,2
0,numbers_free_xstar,CO_oxidation,0,3
0,coverages,CO_oxidation,2,1
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,0,2
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,0,3
0,coverages,CO_oxidation,0,2
0,numbers_free_xstar,CO_oxidation,0,3
0,coverages,CO_oxidation,2,1
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,0,2
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,2
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,0,3
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,2
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,0
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,2
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,2,2
0,coverages,CO_oxidation,2,0
0,numbers_free_xstar,CO_oxidation,1,0
0,coverages,CO_oxidation,1,1
0,numbers_free_xstar,CO_oxidation,1,0
